age,gender,first_generation_college,international_student,residency_status,high_school_gpa,sat_score,act_score,advanced_courses_taken,extracurricular_activities,major,enrollment_status,semester_credits,admission_type,starting_semester,family_income,financial_aid_received,pell_grant_eligible (scholarship),student_loan_amount,has_campus_job,current_gpa,credits_completed,courses_failed,courses_withdrawn,attendance_rate,study_hours_per_week,library_visits_per_month,tutoring_sessions_attended,advisor_meetings,clubs_joined,living_arrangement,has_disability,distance_from_campus_miles,work_hours_per_week,dropped_out
18,Male,No,No,International,3.66,1068.0,32,4,3,Arts & Sciences,Full-time,18,Regular,Spring,$30k-$60k,No,No,30220,Yes,3.15,42,0,0,60.2,40,4,2,0,2,On-campus,No,2,17,No
17,Female,No,No,In-state,3.4,1136.0,21,0,4,Business,Full-time,12,Regular,Fall,$100k+,Yes,No,18954,Yes,3.61,22,0,0,56.0,0,9,4,1,1,Commuter,Yes,14,6,No
20,Male,No,No,In-state,3.33,1153.0,19,4,2,Business,Full-time,18,Transfer,Spring,$100k+,No,No,3698,No,3.43,6,1,0,88.5,5,2,3,3,2,On-campus,No,5,7,Yes
17,Female,No,No,In-state,3.3,1159.0,22,2,2,Health Sciences,Full-time,15,Regular,Spring,<$30k,Yes,No,4111,No,2.54,17,2,0,87.5,7,4,0,1,1,At home,No,3,23,No
19,Male,No,Yes,International,3.24,1183.0,27,1,4,Health Sciences,Full-time,15,Regular,Fall,$30k-$60k,Yes,No,1688,No,3.08,42,0,0,92.6,6,2,2,3,2,Off-campus,No,4,0,No
21,Female,No,No,Out-of-state,4.0,1205.0,30,2,2,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,Yes,No,6024,No,3.3,54,1,2,68.0,0,5,3,3,1,Off-campus,No,7,1,No
18,Female,No,No,In-state,3.78,1153.0,21,5,1,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,Yes,Yes,5134,No,3.47,74,0,0,93.4,23,6,1,3,1,Commuter,No,3,1,No
18,Female,Yes,No,In-state,3.3,1207.0,25,4,2,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,No,No,4313,Yes,2.0,2,0,1,83.6,3,7,3,3,1,Off-campus,No,24,9,No
25,Male,No,Yes,In-state,3.75,1600.0,26,1,3,Health Sciences,Full-time,18,Regular,Fall,$100k+,Yes,No,2451,Yes,1.63,17,2,1,74.2,1,10,3,1,0,On-campus,No,62,6,Yes
26,Female,Yes,No,Out-of-state,2.77,1213.0,16,0,4,Health Sciences,Full-time,12,Regular,Fall,$60k-$100k,No,Yes,9294,No,2.81,98,1,0,45.7,5,4,3,1,0,On-campus,No,12,8,Yes
17,Female,Yes,No,In-state,3.2,1340.0,33,4,4,Social Sciences,Full-time,18,Regular,Spring,$30k-$60k,Yes,No,31629,No,2.46,113,1,1,53.5,9,5,0,3,1,Off-campus,No,3,40,No
20,Male,No,No,In-state,3.88,1029.0,24,3,2,Engineering,Full-time,15,Early Decision,Fall,$100k+,Yes,Yes,92732,No,2.77,53,0,0,93.9,13,3,1,1,1,At home,No,21,20,No
17,Female,Yes,No,In-state,2.68,939.0,29,5,5,Arts & Sciences,Part-time,3,Regular,Fall,$100k+,No,Yes,31605,No,4.0,5,2,1,98.0,6,4,3,2,1,Off-campus,No,18,37,Yes
17,Female,No,No,In-state,2.94,1181.0,25,2,6,Engineering,Full-time,12,Regular,Spring,$30k-$60k,Yes,No,14227,No,2.9,24,2,0,67.9,31,5,1,3,0,On-campus,No,10,14,No
21,Male,Yes,No,In-state,3.34,1082.0,28,6,3,Business,Full-time,12,Early Decision,Fall,$60k-$100k,No,Yes,7117,No,2.93,43,0,0,68.9,18,5,2,0,4,Off-campus,No,23,9,Yes
21,Non-binary,No,No,In-state,3.26,885.0,18,0,1,Arts & Sciences,Full-time,15,Regular,Fall,<$30k,No,Yes,1832,Yes,2.75,120,0,3,79.6,21,5,4,2,1,On-campus,No,8,20,Yes
21,Female,No,No,In-state,2.37,1216.0,21,2,2,Education,Part-time,3,Early Decision,Fall,<$30k,No,No,5419,No,2.81,12,1,0,65.2,1,5,0,1,1,On-campus,No,0,14,Yes
17,Female,Yes,No,In-state,2.68,992.0,30,5,3,Health Sciences,Full-time,12,Early Decision,Fall,<$30k,Yes,No,20277,Yes,4.0,51,0,0,86.9,0,4,2,2,1,Off-campus,No,14,6,No
19,Female,No,No,In-state,3.1,1303.0,28,3,1,Business,Part-time,6,Transfer,Fall,$30k-$60k,No,Yes,12185,No,2.5,4,0,0,73.4,24,6,3,1,3,Off-campus,No,3,4,No
17,Female,No,No,In-state,4.0,1253.0,24,2,1,Education,Full-time,18,Regular,Fall,$60k-$100k,Yes,Yes,1939,Yes,2.42,57,3,0,79.8,9,7,2,1,0,Off-campus,No,11,40,No
20,Female,No,No,In-state,3.4,1174.0,21,3,5,Health Sciences,Full-time,12,Regular,Fall,$100k+,Yes,No,38777,No,2.14,4,0,0,82.0,11,3,3,1,2,On-campus,No,11,12,No
25,Female,Yes,No,International,4.0,1355.0,28,4,2,Engineering,Part-time,6,Early Decision,Summer,<$30k,Yes,Yes,15217,No,3.12,8,1,0,75.2,20,3,1,2,4,On-campus,No,13,23,No
24,Male,Yes,No,In-state,3.52,1102.0,19,4,4,Computer Science,Full-time,15,Regular,Fall,$30k-$60k,No,No,39406,Yes,2.7,23,0,0,78.4,7,3,1,3,2,At home,No,2,12,No
17,Female,No,No,Out-of-state,3.09,1320.0,23,2,4,Engineering,Part-time,6,Regular,Fall,$30k-$60k,Yes,No,33163,No,3.49,6,0,0,88.9,10,5,0,4,0,On-campus,No,1,0,No
21,Male,No,No,In-state,4.0,960.0,23,1,3,Business,Full-time,12,Regular,Spring,$30k-$60k,No,Yes,6876,No,2.85,42,0,0,34.0,21,6,0,3,3,On-campus,No,20,14,No
21,Female,Yes,No,In-state,3.68,1223.0,22,2,2,Education,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,16347,No,3.56,53,0,0,77.6,39,4,4,1,1,On-campus,Yes,0,17,No
24,Female,No,No,In-state,3.52,1036.0,22,3,2,Business,Full-time,18,Regular,Fall,<$30k,No,No,14549,No,3.71,17,2,0,74.4,3,7,3,5,1,At home,No,1,36,No
22,Male,No,No,In-state,3.21,1153.0,18,6,1,Engineering,Full-time,15,Regular,Spring,$30k-$60k,No,Yes,2017,No,2.56,5,4,1,81.3,18,6,3,3,0,Off-campus,No,50,12,No
18,Male,No,No,In-state,3.67,1024.0,16,4,0,Business,Full-time,12,Regular,Fall,$100k+,No,No,10579,No,2.51,17,0,0,97.4,8,5,0,1,3,Off-campus,No,3,12,No
20,Female,No,No,Out-of-state,3.1,1076.0,20,5,4,Social Sciences,Part-time,6,Transfer,Fall,$100k+,Yes,No,769,Yes,2.28,103,0,0,87.0,2,4,4,2,3,On-campus,No,18,14,No
20,Female,No,No,Out-of-state,3.15,1274.0,20,0,0,Business,Full-time,12,Regular,Fall,<$30k,Yes,No,33200,No,2.61,21,1,0,64.5,2,4,0,0,3,Commuter,No,5,6,Yes
19,Female,No,No,In-state,2.95,1239.0,19,3,2,Arts & Sciences,Full-time,12,Regular,Summer,<$30k,Yes,Yes,12535,No,3.19,12,1,0,78.4,1,6,0,4,1,On-campus,No,5,20,No
24,Male,No,Yes,In-state,3.03,1084.0,19,1,2,Arts & Sciences,Full-time,15,Regular,Fall,$30k-$60k,No,Yes,15889,Yes,3.15,23,2,0,89.8,1,4,2,1,3,On-campus,No,1,1,No
23,Male,No,No,In-state,2.77,965.0,20,1,2,Education,Full-time,12,Regular,Spring,$30k-$60k,No,Yes,3381,No,2.81,28,1,0,46.3,53,5,2,0,0,On-campus,No,0,2,No
20,Male,Yes,No,In-state,3.18,1141.0,25,3,3,Engineering,Part-time,6,Regular,Fall,$100k+,No,No,24771,Yes,3.27,88,1,1,76.1,37,3,0,5,1,Off-campus,No,9,4,No
20,Female,Yes,No,In-state,3.82,1252.0,25,2,3,Business,Full-time,18,Regular,Fall,$30k-$60k,Yes,Yes,3179,No,3.29,2,1,0,75.0,4,4,1,4,0,Commuter,No,23,11,No
17,Female,Yes,No,In-state,3.0,1108.0,22,1,3,Health Sciences,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,6723,Yes,2.88,4,1,1,96.1,2,2,2,0,1,Off-campus,No,71,1,Yes
18,Male,No,No,In-state,2.0,1344.0,23,1,4,Computer Science,Full-time,15,Regular,Spring,$60k-$100k,No,No,5385,No,2.12,45,2,1,73.5,18,1,5,0,0,On-campus,Yes,3,0,No
17,Male,No,No,In-state,3.14,1012.0,24,2,2,Engineering,Full-time,15,Regular,Fall,$30k-$60k,No,No,9448,Yes,3.33,15,0,0,86.6,11,6,3,0,1,On-campus,No,1,2,No
18,Female,Yes,No,In-state,3.15,1273.0,22,3,1,Arts & Sciences,Full-time,18,Regular,Spring,<$30k,No,No,7312,No,2.97,45,0,1,72.8,18,4,2,3,2,On-campus,No,43,9,No
20,Female,No,No,International,4.0,1203.0,21,6,3,Engineering,Full-time,12,Transfer,Fall,$60k-$100k,Yes,Yes,7825,No,3.1,1,2,0,94.7,23,8,1,3,2,Off-campus,No,22,16,No
20,Female,Yes,No,In-state,3.7,917.0,30,4,5,Engineering,Full-time,18,Regular,Spring,<$30k,Yes,No,643,No,3.91,49,0,2,87.5,15,5,0,2,0,Off-campus,No,11,5,No
17,Male,Yes,No,In-state,2.61,921.0,20,4,3,Engineering,Full-time,12,Early Decision,Spring,$60k-$100k,Yes,Yes,5453,No,2.88,8,1,0,90.3,0,4,2,2,1,On-campus,No,5,19,No
20,Male,Yes,No,In-state,3.47,1074.0,27,3,0,Business,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,17211,No,2.9,26,0,0,79.9,1,5,3,2,3,On-campus,No,12,6,No
19,Non-binary,No,No,In-state,2.74,1140.0,23,1,2,Engineering,Full-time,18,Early Decision,Fall,$100k+,No,Yes,11725,Yes,2.69,21,2,1,71.2,8,3,3,2,3,Off-campus,No,31,38,Yes
24,Female,Yes,No,In-state,3.62,847.0,28,2,2,Health Sciences,Full-time,15,Transfer,Spring,$60k-$100k,Yes,Yes,994,Yes,1.93,35,0,0,94.3,17,4,5,2,0,At home,No,12,24,Yes
17,Female,No,No,Out-of-state,2.97,1287.0,21,1,4,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,No,No,84044,No,3.28,24,1,0,92.7,40,5,0,1,1,On-campus,No,21,7,Yes
22,Female,No,No,In-state,3.26,1120.0,23,2,1,Computer Science,Full-time,18,Early Decision,Summer,$100k+,Yes,Yes,62488,No,3.25,59,0,0,70.6,12,1,2,2,2,On-campus,No,17,2,No
17,Male,Yes,No,Out-of-state,3.39,1341.0,22,1,3,Social Sciences,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,13796,Yes,3.7,78,1,0,94.1,29,5,1,1,3,On-campus,No,21,6,No
21,Female,No,No,In-state,2.82,1058.0,17,3,4,Business,Full-time,12,Regular,Fall,$30k-$60k,Yes,Yes,1426,No,4.0,69,3,1,69.3,36,2,3,4,0,On-campus,No,0,3,Yes
19,Female,Yes,Yes,In-state,3.99,1198.0,26,1,4,Engineering,Full-time,15,Regular,Spring,$100k+,Yes,No,2178,No,3.34,6,5,1,75.8,15,3,2,1,2,On-campus,No,10,5,No
17,Female,Yes,No,In-state,3.25,1242.0,25,2,0,Business,Full-time,12,Regular,Fall,$100k+,Yes,No,8391,Yes,2.72,1,1,1,80.4,49,6,0,1,0,Commuter,No,11,2,No
19,Male,No,No,In-state,3.6,1009.0,29,3,1,Business,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,101592,No,2.39,89,1,0,79.4,6,2,5,2,3,Off-campus,Yes,12,2,No
24,Male,Yes,No,In-state,3.09,821.0,23,2,4,Arts & Sciences,Full-time,18,Regular,Fall,$100k+,No,Yes,17144,No,2.16,64,0,0,77.9,15,6,5,1,3,On-campus,No,1,21,Yes
17,Male,Yes,No,In-state,4.0,1010.0,20,0,0,Arts & Sciences,Full-time,12,Regular,Spring,$100k+,No,Yes,2786,No,3.03,103,0,2,82.7,18,10,0,4,3,Off-campus,No,24,0,Yes
17,Male,No,No,Out-of-state,3.32,1080.0,28,2,1,Arts & Sciences,Full-time,15,Regular,Fall,$100k+,Yes,No,19026,No,3.59,6,0,1,89.4,2,2,1,1,1,On-campus,No,10,15,Yes
22,Female,No,No,In-state,2.91,1129.0,25,3,4,Business,Full-time,15,Regular,Spring,$30k-$60k,Yes,No,5018,No,1.72,12,1,0,90.9,15,3,2,0,1,Off-campus,No,20,5,No
20,Male,Yes,No,In-state,3.2,1071.0,26,4,4,Business,Full-time,18,Early Decision,Fall,$30k-$60k,Yes,Yes,5023,No,1.6,12,2,0,81.1,2,4,2,3,1,On-campus,No,4,2,Yes
22,Male,Yes,No,Out-of-state,3.68,1389.0,22,5,5,Business,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,12242,Yes,0.73,55,0,0,74.5,17,3,3,1,0,At home,Yes,43,6,Yes
19,Female,No,No,In-state,3.86,920.0,22,1,1,Health Sciences,Full-time,18,Regular,Fall,$100k+,Yes,No,9150,No,2.56,120,0,0,49.0,17,2,1,6,2,Off-campus,No,29,21,Yes
20,Female,No,No,In-state,3.27,949.0,20,1,2,Engineering,Full-time,18,Regular,Fall,$100k+,Yes,Yes,11850,Yes,1.76,44,2,0,83.3,5,7,1,0,2,Commuter,No,14,0,No
20,Female,No,No,In-state,3.64,1216.0,24,1,1,Business,Part-time,3,Regular,Fall,<$30k,No,Yes,11071,Yes,2.33,3,0,0,31.6,48,8,3,2,1,Off-campus,Yes,12,25,Yes
21,Male,Yes,No,In-state,2.91,1166.0,23,4,2,Business,Full-time,12,Regular,Fall,$60k-$100k,Yes,Yes,14946,No,2.4,65,0,0,84.6,28,1,0,2,2,On-campus,No,14,5,No
18,Female,Yes,No,In-state,3.45,1202.0,29,0,3,Business,Full-time,12,Early Decision,Fall,$100k+,Yes,No,11895,No,2.46,59,1,1,66.5,6,6,1,3,1,At home,No,6,5,Yes
19,Male,Yes,No,In-state,3.39,884.0,20,2,4,Arts & Sciences,Full-time,15,Regular,Fall,$30k-$60k,Yes,Yes,7975,No,2.68,23,1,0,63.4,22,3,3,3,1,At home,No,23,15,Yes
17,Female,Yes,No,In-state,3.63,1258.0,25,1,1,Business,Full-time,15,Regular,Fall,$60k-$100k,Yes,Yes,12596,No,1.49,42,2,0,72.4,54,2,0,2,0,Off-campus,No,0,9,No
25,Female,Yes,No,In-state,3.47,1228.0,28,3,4,Arts & Sciences,Full-time,12,Regular,Fall,<$30k,Yes,No,39803,Yes,2.9,49,1,0,50.9,4,2,0,2,0,On-campus,No,7,5,No
19,Male,Yes,No,Out-of-state,2.85,1253.0,20,1,4,Health Sciences,Part-time,6,Regular,Fall,$60k-$100k,Yes,No,21084,No,2.11,38,1,0,58.4,11,2,4,2,2,On-campus,No,12,1,Yes
22,Female,No,No,In-state,3.75,1279.0,24,4,1,Engineering,Full-time,12,Regular,Fall,$60k-$100k,Yes,No,7949,Yes,2.63,42,0,0,81.5,2,3,0,1,2,At home,No,4,2,No
31,Male,No,Yes,In-state,3.92,1385.0,23,5,2,Health Sciences,Full-time,18,Regular,Fall,<$30k,Yes,No,5306,No,2.65,12,1,1,65.2,3,8,0,1,5,On-campus,No,5,7,No
19,Male,Yes,No,In-state,2.92,1295.0,25,3,2,Business,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,1604,Yes,4.0,99,1,0,81.0,3,4,2,0,0,Commuter,No,7,17,Yes
18,Male,Yes,No,In-state,3.39,1270.0,23,4,3,Engineering,Full-time,15,Regular,Fall,$30k-$60k,Yes,No,9329,No,3.55,5,0,3,76.6,11,4,2,1,1,Commuter,No,16,8,No
23,Male,No,No,In-state,3.06,1338.0,23,3,2,Business,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,2358,No,3.66,33,1,0,87.7,17,7,2,1,2,At home,No,48,13,No
18,Female,Yes,No,In-state,3.32,1249.0,20,4,1,Business,Full-time,15,Regular,Fall,$30k-$60k,No,Yes,4076,No,2.91,19,1,1,83.3,1,2,1,2,0,Commuter,No,25,8,No
19,Female,Yes,No,International,3.21,1067.0,24,2,2,Business,Full-time,15,Regular,Summer,$60k-$100k,No,No,14344,No,3.65,115,0,1,75.6,12,4,1,1,2,On-campus,No,43,3,No
22,Female,No,No,In-state,3.27,1273.0,17,4,3,Computer Science,Full-time,12,Regular,Fall,$60k-$100k,Yes,Yes,17930,No,2.66,74,0,0,44.5,60,4,1,1,3,Off-campus,No,27,17,Yes
17,Female,No,No,In-state,3.82,1194.0,25,0,2,Business,Full-time,18,Regular,Fall,$60k-$100k,No,No,6035,No,2.99,16,0,0,56.8,9,7,0,2,3,At home,No,16,3,No
20,Female,No,No,In-state,3.09,1334.0,22,3,2,Computer Science,Full-time,15,Regular,Fall,<$30k,Yes,No,23554,No,3.18,22,1,1,97.4,21,6,4,0,3,Off-campus,Yes,28,17,No
17,Male,No,No,In-state,3.62,1430.0,28,1,1,Arts & Sciences,Full-time,18,Regular,Spring,$100k+,Yes,No,4813,Yes,1.07,1,3,0,94.8,17,6,1,2,2,At home,No,27,12,Yes
20,Male,No,No,In-state,3.44,1087.0,22,1,2,Social Sciences,Full-time,15,Regular,Spring,<$30k,Yes,Yes,5198,No,2.85,67,2,1,73.8,6,3,0,3,1,On-campus,No,22,18,No
17,Female,Yes,Yes,In-state,3.27,1214.0,25,5,2,Engineering,Full-time,12,Transfer,Fall,$30k-$60k,Yes,No,7130,No,3.44,120,0,1,81.0,23,4,2,3,0,On-campus,No,48,5,No
24,Female,No,No,In-state,3.55,976.0,16,1,1,Engineering,Full-time,18,Transfer,Fall,$30k-$60k,No,No,6257,Yes,3.83,5,1,0,57.1,6,2,3,3,2,Commuter,No,0,4,Yes
17,Female,No,No,Out-of-state,2.6,1153.0,26,2,1,Education,Full-time,18,Regular,Spring,$30k-$60k,Yes,No,3714,No,3.24,71,1,2,71.6,3,5,3,1,2,Commuter,No,0,1,No
18,Male,No,No,In-state,3.52,1001.0,25,7,1,Business,Full-time,15,Regular,Spring,$100k+,No,Yes,7100,No,2.93,19,0,0,85.2,5,5,5,3,1,On-campus,No,1,0,No
17,Male,Yes,No,In-state,3.18,1180.0,19,5,1,Business,Full-time,18,Early Decision,Fall,$60k-$100k,Yes,No,41087,No,2.19,2,1,0,96.8,13,2,1,1,1,At home,No,21,11,No
20,Male,Yes,Yes,In-state,2.86,1082.0,24,3,2,Education,Full-time,12,Transfer,Fall,$30k-$60k,Yes,Yes,4355,Yes,3.84,9,3,0,89.8,27,3,1,1,0,Off-campus,No,5,2,No
17,Female,No,No,In-state,3.14,1170.0,21,2,2,Arts & Sciences,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,12691,No,1.19,44,0,0,63.9,21,3,2,1,0,At home,No,2,17,Yes
17,Non-binary,No,No,In-state,2.6,1254.0,22,3,4,Arts & Sciences,Full-time,18,Early Decision,Fall,$30k-$60k,Yes,No,7673,No,2.23,61,1,0,71.5,3,4,2,0,0,Commuter,No,0,19,No
21,Male,No,No,In-state,3.35,1153.0,25,4,2,Engineering,Full-time,12,Regular,Summer,$30k-$60k,Yes,No,8812,Yes,3.23,40,2,2,90.0,13,2,8,0,0,Off-campus,No,12,21,Yes
20,Male,No,Yes,In-state,3.42,1014.0,18,1,1,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,4427,No,2.86,120,1,0,81.7,15,2,0,1,2,Off-campus,No,9,9,No
20,Male,No,No,In-state,3.29,1214.0,24,5,3,Engineering,Full-time,18,Early Decision,Fall,<$30k,No,Yes,17900,Yes,3.76,80,1,0,95.9,1,4,0,1,1,Off-campus,No,8,0,Yes
18,Female,No,No,Out-of-state,3.33,1218.0,29,3,2,Social Sciences,Full-time,15,Regular,Fall,<$30k,Yes,No,3766,No,3.19,4,1,2,96.1,11,4,4,1,1,Commuter,No,52,0,No
20,Female,No,No,Out-of-state,3.87,1224.0,29,2,3,Computer Science,Part-time,6,Regular,Fall,$30k-$60k,Yes,No,10501,No,2.22,88,2,0,58.7,0,2,0,2,1,Off-campus,No,1,2,Yes
22,Male,No,Yes,In-state,3.35,1242.0,35,4,3,Health Sciences,Full-time,18,Regular,Spring,$100k+,Yes,Yes,32185,No,3.03,14,1,2,63.7,20,6,4,2,3,At home,No,3,5,Yes
24,Male,No,No,In-state,2.49,1054.0,22,3,3,Business,Full-time,18,Regular,Fall,$60k-$100k,Yes,Yes,9008,No,3.44,4,5,0,97.4,19,2,1,1,2,Off-campus,No,4,40,No
21,Female,No,No,In-state,3.48,1190.0,18,0,3,Engineering,Full-time,12,Regular,Fall,$100k+,Yes,Yes,23558,No,2.54,8,0,0,54.1,13,4,6,1,1,At home,No,51,0,No
17,Male,Yes,No,In-state,3.53,1079.0,27,1,1,Engineering,Full-time,12,Regular,Fall,$100k+,Yes,No,2509,Yes,2.41,3,1,1,96.5,21,4,2,2,0,Off-campus,No,4,6,No
17,Female,Yes,No,Out-of-state,3.3,1334.0,28,3,3,Engineering,Full-time,18,Regular,Fall,<$30k,Yes,No,23259,Yes,1.59,67,0,1,88.0,24,2,2,1,1,On-campus,No,11,13,No
23,Female,Yes,No,In-state,3.27,1130.0,21,6,4,Social Sciences,Full-time,15,Regular,Fall,$100k+,Yes,No,26466,No,2.96,6,0,1,84.4,22,3,3,0,3,At home,No,5,8,No
20,Female,No,No,In-state,2.91,1488.0,25,5,6,Arts & Sciences,Full-time,12,Regular,Fall,<$30k,No,Yes,16490,No,2.9,8,4,0,48.0,12,6,2,1,1,On-campus,No,12,3,Yes
22,Male,Yes,No,Out-of-state,4.0,1153.0,29,3,3,Computer Science,Full-time,18,Transfer,Fall,$100k+,No,No,2512,No,3.0,19,0,0,78.0,20,4,3,5,3,On-campus,No,8,26,No
24,Female,No,No,In-state,4.0,1153.0,18,1,2,Business,Full-time,12,Early Decision,Spring,$100k+,Yes,No,1425,No,2.63,9,2,0,72.4,3,4,2,2,3,At home,No,7,0,No
17,Female,No,No,Out-of-state,2.55,929.0,24,2,2,Computer Science,Full-time,15,Transfer,Fall,<$30k,Yes,Yes,37189,Yes,3.65,116,1,1,77.5,12,4,4,1,2,On-campus,No,19,2,Yes
22,Non-binary,No,No,In-state,3.48,1157.0,27,5,2,Engineering,Full-time,15,Regular,Fall,$30k-$60k,Yes,No,18466,No,3.08,1,0,0,92.6,20,3,0,2,2,On-campus,No,0,5,Yes
17,Female,No,No,In-state,4.0,1172.0,22,2,3,Health Sciences,Full-time,12,Early Decision,Spring,<$30k,No,Yes,6884,No,3.49,70,1,0,79.8,5,3,2,3,0,On-campus,No,2,0,Yes
21,Male,No,No,International,4.0,924.0,22,2,8,Education,Part-time,9,Regular,Spring,$30k-$60k,No,No,19534,No,2.58,93,1,0,78.1,23,4,2,1,3,On-campus,No,3,10,No
22,Female,Yes,No,In-state,3.79,1326.0,18,5,5,Business,Full-time,18,Regular,Spring,$30k-$60k,No,No,20606,Yes,3.34,2,1,0,67.2,26,4,3,3,2,Off-campus,No,7,6,Yes
20,Male,Yes,No,In-state,4.0,1271.0,25,8,3,Arts & Sciences,Part-time,3,Regular,Fall,$60k-$100k,Yes,No,15982,No,1.9,85,2,1,89.4,15,0,1,2,1,On-campus,No,3,21,Yes
20,Male,Yes,Yes,In-state,4.0,1190.0,26,4,6,Education,Full-time,15,Regular,Spring,$60k-$100k,Yes,No,3831,No,3.45,25,1,0,79.8,1,1,1,0,1,Off-campus,No,45,6,No
17,Male,No,Yes,In-state,3.81,989.0,24,3,4,Business,Full-time,12,Regular,Spring,$100k+,No,No,5154,No,2.9,25,1,0,79.0,14,4,3,0,1,At home,No,13,6,No
21,Male,Yes,No,In-state,3.49,1273.0,27,5,4,Business,Full-time,15,Regular,Spring,$100k+,Yes,Yes,15695,No,3.67,62,0,0,69.5,13,7,1,1,1,Commuter,No,18,28,Yes
18,Female,No,Yes,In-state,4.0,1153.0,24,0,2,Business,Full-time,18,Regular,Fall,<$30k,Yes,No,50340,Yes,1.95,14,2,1,52.7,15,1,1,2,1,Off-campus,No,29,14,Yes
22,Male,No,Yes,In-state,3.0,1133.0,21,4,2,Engineering,Full-time,18,Regular,Spring,$100k+,Yes,Yes,4759,No,4.0,120,2,0,81.3,7,4,2,3,2,At home,No,31,1,No
17,Male,No,No,In-state,3.09,1113.0,17,3,0,Business,Part-time,6,Early Decision,Fall,$60k-$100k,Yes,No,12282,Yes,2.9,6,0,2,48.6,17,6,1,0,1,At home,No,3,4,No
23,Female,No,No,In-state,3.07,1245.0,27,4,2,Business,Full-time,18,Regular,Spring,$60k-$100k,Yes,Yes,7105,No,4.0,45,1,0,66.6,30,2,1,3,1,At home,No,38,10,No
17,Female,Yes,No,Out-of-state,3.54,1190.0,28,2,1,Education,Full-time,18,Regular,Spring,<$30k,No,No,9019,Yes,2.73,120,2,0,66.2,10,1,3,0,2,On-campus,No,0,5,Yes
20,Male,No,No,International,3.24,1219.0,21,2,5,Computer Science,Full-time,15,Regular,Spring,$60k-$100k,Yes,No,31542,No,4.0,76,3,1,90.2,5,6,0,2,3,Off-campus,No,9,10,No
18,Female,No,No,In-state,2.3,1372.0,28,1,5,Education,Full-time,12,Regular,Summer,$30k-$60k,No,No,3367,No,2.78,3,0,0,85.8,15,3,5,0,0,On-campus,No,16,40,No
17,Female,Yes,Yes,In-state,3.4,1076.0,24,3,4,Engineering,Full-time,12,Regular,Spring,$60k-$100k,No,No,5201,No,3.63,64,0,0,79.1,2,4,1,1,4,On-campus,No,6,10,Yes
22,Male,Yes,Yes,In-state,3.57,1167.0,27,0,3,Arts & Sciences,Part-time,3,Regular,Fall,<$30k,Yes,Yes,2204,No,3.24,9,0,0,82.5,0,2,6,1,0,At home,No,13,24,Yes
23,Male,No,No,In-state,3.14,1269.0,27,2,3,Health Sciences,Full-time,15,Regular,Fall,$100k+,No,No,3039,No,2.9,5,0,1,78.8,15,2,3,0,2,Off-campus,No,5,4,No
22,Male,No,No,In-state,4.0,1329.0,23,2,1,Business,Part-time,6,Early Decision,Spring,$100k+,Yes,Yes,2266,No,4.0,47,0,0,83.9,7,2,2,1,1,Off-campus,No,9,5,No
19,Male,No,No,In-state,3.68,1017.0,25,2,3,Engineering,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,5000,No,3.71,7,0,0,86.6,1,5,2,0,1,At home,No,2,1,No
19,Female,No,No,In-state,3.7,955.0,23,0,1,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,Yes,Yes,30536,No,3.9,26,1,0,94.0,11,6,2,1,1,Off-campus,No,0,1,No
25,Male,No,No,In-state,2.72,998.0,27,4,1,Health Sciences,Full-time,12,Regular,Fall,$30k-$60k,Yes,No,21535,Yes,3.83,1,0,0,96.7,18,4,1,3,0,At home,No,9,15,No
27,Male,Yes,Yes,In-state,3.19,1167.0,25,1,1,Education,Full-time,12,Regular,Fall,$30k-$60k,No,No,5838,Yes,3.21,70,0,0,80.8,28,4,2,0,0,Commuter,No,3,5,No
19,Male,No,No,Out-of-state,2.78,1038.0,17,3,3,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,Yes,Yes,2613,Yes,3.03,58,1,1,85.3,6,7,4,2,1,Off-campus,No,19,0,No
17,Female,No,No,In-state,2.95,1172.0,30,3,5,Arts & Sciences,Full-time,15,Transfer,Spring,$60k-$100k,Yes,No,5264,No,2.85,8,0,0,49.3,1,4,1,2,1,Off-campus,No,1,16,No
20,Male,No,No,In-state,2.93,1356.0,21,2,8,Computer Science,Full-time,15,Regular,Summer,$60k-$100k,No,No,3719,No,3.87,12,1,2,85.3,24,2,1,1,1,On-campus,No,0,13,No
